caption_loss,fc_loss,loss
6.09375,0.578125,11.875
5.3125,0.7109375,12.4375
5.8125,0.546875,11.25
6.125,0.60546875,12.1875
5.9375,0.625,12.1875
5.59375,0.6015625,11.625
5.84375,0.6484375,12.375
5.6875,0.671875,12.375
6.28125,0.6015625,12.25
5.34375,0.56640625,11.0
5.625,0.64453125,12.0625
5.09375,0.58203125,10.875
5.5,0.61328125,11.625
5.78125,0.5859375,11.625
5.25,0.63671875,11.625
6.125,0.5234375,11.375
5.15625,0.6484375,11.625
5.40625,0.6015625,11.375
5.5,0.6484375,12.0
5.40625,0.546875,10.875
5.9375,0.58203125,11.75
5.125,0.6328125,11.4375
5.78125,0.5859375,11.625
5.28125,0.67578125,12.0
5.1875,0.58984375,11.125
5.71875,0.71484375,12.875
5.28125,0.640625,11.6875
5.21875,0.6484375,11.75
5.0,0.64453125,11.4375
5.625,0.578125,11.375
5.78125,0.5625,11.375
5.21875,0.55859375,10.8125
5.46875,0.609375,11.5625
5.375,0.5625,11.0
6.28125,0.5703125,12.0
5.53125,0.6796875,12.375
5.5625,0.54296875,11.0
6.65625,0.5390625,12.0
5.40625,0.5859375,11.25
5.375,0.6484375,11.875
5.15625,0.5546875,10.75
5.8125,0.58203125,11.625
5.0625,0.67578125,11.8125
5.40625,0.58984375,11.3125
5.3125,0.66015625,11.875
5.625,0.5859375,11.5
5.34375,0.58984375,11.25
5.34375,0.61328125,11.5
5.59375,0.56640625,11.25
5.15625,0.6328125,11.5
5.21875,0.58203125,11.0
5.15625,0.5625,10.75
5.625,0.5859375,11.5
5.21875,0.59375,11.125
5.09375,0.5859375,11.0
5.3125,0.55859375,10.875
5.375,0.5703125,11.0625
5.0625,0.6640625,11.6875
5.53125,0.57421875,11.25
5.21875,0.59765625,11.1875
5.125,0.52734375,10.375
5.40625,0.53515625,10.75
5.25,0.6015625,11.25
5.25,0.63671875,11.625
5.28125,0.6171875,11.5
5.4375,0.5859375,11.3125
5.21875,0.5234375,10.5
5.5625,0.57421875,11.3125
5.375,0.5703125,11.0625
5.5625,0.546875,11.0
5.59375,0.62890625,11.875
5.3125,0.5703125,11.0
5.5,0.63671875,11.875
5.53125,0.578125,11.3125
5.375,0.515625,10.5
5.03125,0.53125,10.375
5.78125,0.54296875,11.25
5.65625,0.5390625,11.0
5.125,0.54296875,10.5625
4.6875,0.515625,9.875
5.25,0.5625,10.875
5.1875,0.54296875,10.625
5.0,0.609375,11.125
5.0625,0.51953125,10.25
5.21875,0.56640625,10.875
5.8125,0.64453125,12.25
5.3125,0.53515625,10.625
5.34375,0.59765625,11.3125
5.34375,0.6484375,11.875
5.15625,0.55859375,10.75
5.1875,0.5625,10.8125
5.28125,0.6328125,11.625
5.1875,0.53515625,10.5
4.65625,0.69921875,11.625
5.46875,0.59375,11.375
5.125,0.59375,11.0625
5.0625,0.5234375,10.3125
5.125,0.56640625,10.75
5.1875,0.625,11.4375
5.1875,0.56640625,10.875
5.15625,0.5546875,10.75
5.53125,0.5625,11.125
5.0625,0.5625,10.6875
5.40625,0.58984375,11.3125
5.40625,0.61328125,11.5
5.21875,0.58984375,11.125
5.09375,0.5625,10.75
5.53125,0.5546875,11.125
5.5,0.66796875,12.1875
5.3125,0.5625,10.9375
5.84375,0.53125,11.125
5.5,0.61328125,11.625
4.84375,0.5234375,10.125
4.75,0.55859375,10.375
5.65625,0.578125,11.4375
5.1875,0.578125,11.0
4.5625,0.498046875,9.5
5.09375,0.5078125,10.125
5.375,0.58203125,11.1875
5.21875,0.4921875,10.125
5.375,0.53515625,10.75
5.375,0.58203125,11.1875
5.59375,0.6484375,12.125
4.9375,0.5859375,10.8125
4.78125,0.6015625,10.75
5.09375,0.52734375,10.375
4.84375,0.60546875,10.875
5.3125,0.56640625,11.0
4.9375,0.578125,10.75
4.90625,0.58203125,10.75
5.25,0.65625,11.8125
4.96875,0.6484375,11.5
4.96875,0.5859375,10.875
4.71875,0.68359375,11.5625
4.9375,0.52734375,10.25
5.0,0.5390625,10.375
4.75,0.50390625,9.75
4.8125,0.427734375,9.125
4.28125,0.55078125,9.75
5.0625,0.54296875,10.5
4.96875,0.455078125,9.5
