caption_loss,fc_loss,loss
5.0,0.4453125,9.4375
4.84375,0.52734375,10.125
5.25,0.52734375,10.5
4.96875,0.482421875,9.75
5.15625,0.44140625,9.5625
4.78125,0.44921875,9.25
5.28125,0.353515625,8.8125
4.90625,0.435546875,9.25
5.15625,0.3984375,9.125
4.96875,0.40234375,9.0
4.90625,0.482421875,9.75
5.0625,0.52734375,10.375
5.0,0.51953125,10.1875
4.75,0.3984375,8.75
4.8125,0.396484375,8.75
5.1875,0.484375,10.0
4.875,0.484375,9.75
4.84375,0.486328125,9.75
4.8125,0.52734375,10.125
5.0,0.3515625,8.5
4.625,0.578125,10.375
4.84375,0.44140625,9.25
4.75,0.439453125,9.125
5.09375,0.435546875,9.4375
4.5625,0.482421875,9.375
5.0625,0.3515625,8.5625
4.9375,0.4765625,9.6875
4.75,0.51953125,9.9375
4.90625,0.474609375,9.625
5.4375,0.4375,9.8125
5.0,0.439453125,9.375
5.5,0.435546875,9.875
4.9375,0.390625,8.875
5.0,0.490234375,9.875
4.875,0.4765625,9.625
5.0,0.5234375,10.25
4.8125,0.5703125,10.5
4.90625,0.431640625,9.25
5.0,0.390625,8.875
5.0625,0.43359375,9.375
5.15625,0.392578125,9.0625
4.84375,0.431640625,9.125
5.09375,0.48046875,9.875
4.78125,0.51953125,10.0
5.125,0.427734375,9.375
5.03125,0.515625,10.1875
5.03125,0.474609375,9.75
4.9375,0.5625,10.5625
4.96875,0.431640625,9.25
5.03125,0.3828125,8.875
4.875,0.388671875,8.75
5.0625,0.33984375,8.5
4.96875,0.3828125,8.8125
4.75,0.38671875,8.625
5.1875,0.474609375,9.9375
4.875,0.380859375,8.6875
5.09375,0.5234375,10.375
5.125,0.515625,10.25
4.875,0.5625,10.5
5.03125,0.47265625,9.75
4.9375,0.4765625,9.6875
4.96875,0.4296875,9.25
5.0,0.51953125,10.1875
4.6875,0.51953125,9.875
4.75,0.3828125,8.5625
4.90625,0.427734375,9.1875
4.625,0.38671875,8.5
5.21875,0.4765625,10.0
5.0,0.470703125,9.75
4.75,0.47265625,9.5
4.9375,0.56640625,10.625
4.65625,0.427734375,8.9375
5.3125,0.33203125,8.625
4.8125,0.3828125,8.625
5.0,0.51953125,10.1875
4.75,0.421875,9.0
4.8125,0.380859375,8.625
4.6875,0.427734375,9.0
4.875,0.3828125,8.6875
4.90625,0.46875,9.625
4.875,0.47265625,9.625
5.0,0.375,8.75
5.0625,0.33203125,8.375
5.09375,0.51953125,10.25
4.71875,0.373046875,8.4375
4.78125,0.37890625,8.5625
4.84375,0.33203125,8.125
4.5,0.51953125,9.6875
4.84375,0.51953125,10.0
4.84375,0.427734375,9.125
5.3125,0.326171875,8.5625
4.875,0.369140625,8.5625
4.84375,0.328125,8.125
4.90625,0.37109375,8.625
4.78125,0.373046875,8.5
4.8125,0.46484375,9.5
5.21875,0.4609375,9.875
5.0625,0.37109375,8.75
4.6875,0.373046875,8.4375
5.1875,0.466796875,9.875
5.0,0.373046875,8.75
4.8125,0.46484375,9.5
5.03125,0.515625,10.1875
4.75,0.470703125,9.5
4.75,0.46484375,9.375
5.0,0.462890625,9.625
4.90625,0.369140625,8.625
4.875,0.46484375,9.5
5.09375,0.412109375,9.25
4.9375,0.361328125,8.5625
4.96875,0.46484375,9.625
4.71875,0.462890625,9.375
4.9375,0.359375,8.5
4.84375,0.462890625,9.5
4.8125,0.462890625,9.4375
5.0625,0.5625,10.6875
5.125,0.5625,10.75
4.625,0.3671875,8.3125
4.875,0.453125,9.375
5.0,0.51171875,10.125
5.21875,0.41796875,9.375
4.75,0.36328125,8.375
4.96875,0.66015625,11.5625
4.8125,0.31640625,7.96875
4.46875,0.61328125,10.625
5.25,0.4140625,9.375
4.78125,0.41796875,9.0
4.71875,0.36328125,8.375
4.96875,0.462890625,9.625
4.875,0.5078125,9.9375
4.6875,0.462890625,9.3125
4.9375,0.5078125,10.0
4.75,0.357421875,8.3125
4.90625,0.765625,12.5625
5.09375,0.5625,10.75
5.09375,0.4609375,9.75
4.875,0.412109375,9.0
5.0625,0.41796875,9.25
4.71875,0.51171875,9.875
4.75,0.361328125,8.375
4.96875,0.3125,8.125
4.75,0.41015625,8.875
4.75,0.359375,8.375
4.75,0.4609375,9.375
4.65625,0.4609375,9.25
4.71875,0.412109375,8.875
4.84375,0.515625,10.0
4.78125,0.361328125,8.375
4.8125,0.361328125,8.4375
4.78125,0.4140625,8.875
5.0,0.46484375,9.625
4.59375,0.412109375,8.75
5.21875,0.5625,10.875
